State,Education_Inequality_Index,Gender_Gap_Literacy,Transition_Loss_1_8_to_9_10,Infra_Index
Uttar Pradesh,52.45152423601538,19.979999999999997,0.8260316958205789,66.1725
Bihar,52.36305368224713,20.06,0.8311815733393365,60.365
Odisha,49.85628314582887,18.040000000000006,0.777070021542118,68.83250000000001
Assam,49.72933338125608,11.540000000000006,0.8190133266368085,59.205
Delhi,49.16988569423208,10.099999999999994,0.7537437971210832,96.7875
Meghalaya,47.571502716649555,3.390000000000001,0.8482744015351279,19.265
Himachal Pradesh,47.126634943387415,14.230000000000004,0.7578248784810806,78.92750000000001
Rajasthan,46.549011589981674,27.85000000000001,0.8073553543984072,74.025
Tripura,46.399266440192854,9.03,0.7753136961157174,49.8275
Manipur,46.286063215282205,13.319999999999991,0.8025433621329352,47.8025
Jharkhand,46.24172985932939,22.24,0.8140002643795671,77.44500000000001
Uttarakhand,45.81021008028315,17.629999999999995,0.7793923541150382,73.13
Chhattisgarh,45.72570985523893,20.86,0.7989504971486727,75.545
Chandigarh,45.257115306173034,9.16000000000001,0.7263667603873789,98.9125
West Bengal,45.249381659632014,11.510000000000003,0.7766620935758353,72.9325
Mizoram,43.68817594122624,4.319999999999993,0.8053432918819932,61.885000000000005
Arunachal Pradesh,43.24112239615474,14.119999999999996,0.8174432007582604,37.2175
Sikkim,42.01931333169183,10.86,0.6927905094282036,76.7625
Nagaland,40.8378550925774,6.6000000000000085,0.7859975072341232,49.45
Lakshadweep,40.77681563026883,7.859999999999999,0.771807992202729,98.3325
Andhra Pradesh,38.94865438599081,15.82,0.7724313930490325,74.205
Haryana,38.7605377734918,18.61,0.765458969982518,84.7175
Kerala,37.01543417408523,4.039999999999992,0.7501807640015921,96.195
Gujarat,35.3807025082434,16.5,0.7935267908482663,91.7575
Karnataka,35.28746174457759,14.72,0.7723013017654105,76.3275
Goa,34.38189169733164,10.97,0.7580060516559437,84.52000000000001
Andaman and Nicobar Islands,33.75673469769975,8.269999999999996,0.7296431105922212,81.355
Maharashtra,33.639549096733894,14.33999999999999,0.7577545642872883,81.8175
Puducherry,33.35365549122676,10.900000000000006,0.7369221391678162,99.1225
Tamil Nadu,32.67444715104686,12.950000000000005,0.7485983501926112,83.005
Punjab,32.111346703382125,10.14,0.7653881493563981,98.565
Jammu And Kashmir,,20.250000000000007,,
MADHYA PRADESH,,20.51,,
Daman & Diu,,11.89,,
Dadra and Nagar Haveli,,20.529999999999987,,
Telangana,,,0.769051381342338,74.23
