State,Literacy_Total,Literacy_Male,Literacy_Female,Enrol_Rural_All,Enrol_Urban_All,Total_Population,Urban_Population,Sex_Ratio,SC_Population,ST_Population,Enrol_Total_PrePri_12,Enrol_Elementary_1_8,Enrol_Secondary_9_10,Enrol_HS_11_12,Pct_Internet_AllMgmt,Pct_Electricity_AllMgmt,Pct_Library_AllMgmt,Pct_Handwash_AllMgmt,NSQF_SecHS_TotalSchools,NSQF_SecHS_SchoolsWithVoc,Gender_Gap_Literacy,Rural_Urban_Enrol_Divide,Transition_Loss_1_8_to_9_10,Pct_SecHS_With_Voc,Infra_Index,Education_Inequality_Index
Gujarat,79.31,87.23,70.73,1439713,1248715,60383.63,31.35,918.0,6.7,14.8,11542276.0,8478175.0,1750516.0,1148894.0,75.23,99.94,95.8,96.06,12709.0,252.0,16.5,-0.07104449142770422,0.7935267908482663,1.9828468014792666,91.75750000000001,35.3807025082434
Karnataka,75.6,82.85,68.13,1275461,1312999,61130.7,29.38,968.0,17.1,7.0,12092381.0,8653172.0,1970316.0,1203865.0,24.84,98.96,95.03,86.48,21068.0,203.0,14.719999999999999,0.014502059139411078,0.7723013017654105,0.963546610973989,76.3275,35.28746174457759
Goa,87.4,92.81,81.84,48045,38372,1457.72,46.0,968.0,1.7,10.2,304982.0,193666.0,46866.0,41894.0,38.96,100.0,99.12,100.0,526.0,121.0,10.969999999999999,-0.11193399446868094,0.7580060516559437,23.00380228136882,84.52000000000001,34.38189169733164
Andaman and Nicobar Islands,86.27,90.11,81.84,13524,10056,379.94,30.58,878.0,0.0,7.5,73861.0,43683.0,11810.0,11483.0,33.57,92.33,99.52,100.0,121.0,49.0,8.269999999999996,-0.14707379134860052,0.7296431105922212,40.49586776859504,81.355,33.75673469769975
Maharashtra,82.91,89.82,75.48,3226017,3197508,112372.97,36.58,925.0,11.8,9.4,22586695.0,15420918.0,3735647.0,2904269.0,36.56,95.38,97.39,97.94,28505.0,661.0,14.33999999999999,-0.004438217333940476,0.7577545642872883,2.318891422557446,81.8175,33.639549096733894
Puducherry,86.55,92.12,81.22,31372,47849,1244.46,52.12,1038.0,15.7,0.0,255546.0,155855.0,41002.0,36171.0,97.03,100.0,100.0,99.46,385.0,9.0,10.900000000000006,0.20798778101765947,0.7369221391678162,2.3376623376623376,99.12249999999999,33.35365549122676
Tamil Nadu,80.33,86.81,73.86,2016928,2024861,72138.96,38.1,995.0,20.0,1.1,12830951.0,8274178.0,2080142.0,1812980.0,32.03,100.0,99.99,100.0,13891.0,120.0,12.950000000000003,0.0019627447152733603,0.7485983501926112,0.8638686919588223,83.005,32.67444715104686
Punjab,76.68,81.48,71.34,871014,707946,27704.24,29.82,893.0,31.9,0.0,6147500.0,3699259.0,867890.0,784897.0,94.26,100.0,100.0,100.0,9653.0,989.0,10.14,-0.10327557379540964,0.7653881493563981,10.245519527607998,98.565,32.111346703382125
Jammu And Kashmir,68.74,78.26,58.01,386265,198702,12548.93,20.05,883.0,7.4,11.9,,,,,,,,,,,20.250000000000007,-0.32063860012616097,,,,
MADHYA PRADESH,70.63,80.53,60.02,2101270,1759419,72597.57,21.99,930.0,15.6,21.1,,,,,,,,,,,20.509999999999998,-0.08854662988912083,,,,
Daman & Diu,87.07,91.48,79.59,4430,3867,242.91,23.61,618.0,2.5,6.3,,,,,,,,,,,11.89,-0.06785585151259492,,,,
Dadra and Nagar Haveli,77.65,86.46,65.93,12207,7287,342.85,14.72,775.0,1.8,52.0,,,,,,,,,,,20.529999999999987,-0.2523853493382579,,,,
Telangana,,,,870526,881890,,,,,,6915241.0,4842536.0,1118377.0,802736.0,22.52,94.12,91.91,88.37,14554.0,194.0,,0.006484761609115644,0.769051381342338,1.3329668819568503,74.23,
